Release 9.1i - par J.30
Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

Wed Dec 04 17:43:34 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       cpu_map.ncd
OUTPUT FILE:      cpu_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -4
PACKAGE:          pq208

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name  |Pin Usage|Pin Name                 |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|DCI Value|IO Register|Signal Integrity|
|P27       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P28       |tempIR<14>   |IOB      |IO_L09P_3/LHCLK4/TRDY2   |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P29       |tempIR<15>   |IOB      |IO_L09N_3/LHCLK5         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P30       |             |DIFFM    |IO_L10P_3/LHCLK6         |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P31       |tempPCout<0> |IOB      |IO_L10N_3/LHCLK7         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P32       |             |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P33       |tempPCout<1> |IOB      |IO_L11P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P34       |tempPCout<2> |IOB      |IO_L11N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P35       |tempPCout<3> |IOB      |IO_L12P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P36       |tempPCout<4> |IOB      |IO_L12N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P37       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P38       |             |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |         |           |                |
|P39       |tempPCout<5> |IOB      |IO_L13P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P40       |tempPCout<6> |IOB      |IO_L13N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P41       |tempPCout<7> |IOB      |IO_L14P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P42       |tempPCout<8> |IOB      |IO_L14N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P43       |             |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P44       |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P45       |tempPCout<9> |IOB      |IO/VREF_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P46       |             |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |         |           |                |
|P47       |tempPCout<10>|IOB      |IO_L15P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P48       |tempPCout<11>|IOB      |IO_L15N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P49       |tempPCout<12>|IOB      |IO_L16P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P50       |tempPCout<13>|IOB      |IO_L16N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P51       |reset        |IBUF     |IP                       |INPUT    |LVCMOS25   |3             |          |         |           |NONE     |       |LOCATED   |         |NO         |NONE            |
|P52       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P53       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P54       |             |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P55       |tempPCout<14>|IOB      |IO_L01P_2/CSO_B          |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P56       |tempPCout<15>|IOB      |IO_L01N_2/INIT_B         |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P57       |             |DIFFMI   |IP_L02P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P58       |             |DIFFSI   |IP_L02N_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P59       |             |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |         |           |                |
|P60       |             |DIFFM    |IO_L03P_2/DOUT/BUSY      |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P61       |             |DIFFS    |IO_L03N_2/MOSI/CSI_B     |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P62       |             |DIFFM    |IO_L04P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P63       |             |DIFFS    |IO_L04N_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P64       |             |DIFFM    |IO_L05P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P65       |             |DIFFS    |IO_L05N_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P66       |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P67       |             |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |         |           |                |
|P68       |             |DIFFM    |IO_L06P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P69       |             |DIFFS    |IO_L06N_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P70       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P71       |             |DIFFMI   |IP_L07P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P72       |             |DIFFSI   |IP_L07N_2/VREF_2         |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P73       |             |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |         |           |                |
|P74       |             |DIFFM    |IO_L08P_2/D7/GCLK12      |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P75       |clk          |IBUF     |IO_L08N_2/D6/GCLK13      |INPUT    |LVCMOS25   |2             |          |         |           |NONE     |       |LOCATED   |         |NO         |NONE            |
|P76       |             |IOB      |IO/D5                    |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P77       |pcled        |IOB      |IO_L09P_2/D4/GCLK14      |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P78       |             |DIFFS    |IO_L09N_2/D3/GCLK15      |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P79       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P80       |             |DIFFMI   |IP_L10P_2/RDWR_B/GCLK0   |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P81       |             |DIFFSI   |IP_L10N_2/M2/GCLK1       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P82       |             |DIFFM    |IO_L11P_2/D2/GCLK2       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P83       |             |DIFFS    |IO_L11N_2/D1/GCLK3       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P84       |             |IOB      |IO/M1                    |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P85       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P86       |             |DIFFM    |IO_L12P_2/M0             |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P87       |             |DIFFS    |IO_L12N_2/DIN/D0         |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P88       |             |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |         |           |                |
|P89       |             |DIFFM    |IO_L13P_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P90       |             |DIFFS    |IO_L13N_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P91       |             |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P92       |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P93       |             |DIFFM    |IO_L14P_2/A23            |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P94       |             |DIFFS    |IO_L14N_2/A22            |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P95       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P96       |             |DIFFM    |IO_L15P_2/A21            |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P97       |             |DIFFS    |IO_L15N_2/A20            |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P98       |             |IOB      |IO/VREF_2                |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P99       |             |DIFFM    |IO_L16P_2/VS2/A19        |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P100      |tempcy       |IOB      |IO_L16N_2/VS1/A18        |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P101      |             |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P102      |tempz        |IOB      |IO_L17P_2/VS0/A17        |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P103      |             |DIFFS    |IO_L17N_2/CCLK           |UNUSED   |           |2             |          |         |           |         |       |          |         |           |                |
|P104      |             |         |DONE                     |         |           |              |          |         |           |         |       |          |         |           |                |
|P105      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P106      |             |DIFFM    |IO_L01P_1/A16            |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P107      |             |DIFFS    |IO_L01N_1/A15            |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P108      |             |DIFFM    |IO_L02P_1/A14            |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P109      |             |DIFFS    |IO_L02N_1/A13            |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P110      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P111      |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P112      |             |DIFFM    |IO_L03P_1                |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P113      |ABUS<9>      |IOB      |IO_L03N_1/VREF_1         |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P114      |             |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |         |           |                |
|P115      |ABUS<10>     |IOB      |IO_L04P_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P116      |ABUS<11>     |IOB      |IO_L04N_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P117      |             |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |         |           |                |
|P118      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P119      |ABUS<12>     |IOB      |IO_L05P_1/A12            |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P120      |DBUS<8>      |IOB      |IO_L05N_1/A11            |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P121      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P122      |DBUS<9>      |IOB      |IO_L06P_1                |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P123      |DBUS<10>     |IOB      |IO_L06N_1/VREF_1         |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P124      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P125      |             |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |         |           |                |
|P126      |             |DIFFM    |IO_L07P_1/A10/RHCLK0     |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P127      |             |DIFFS    |IO_L07N_1/A9/RHCLK1      |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P128      |DBUS<11>     |IOB      |IO_L08P_1/A8/RHCLK2      |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P129      |             |DIFFS    |IO_L08N_1/A7/RHCLK3/TRDY1|UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P130      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P131      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P132      |DBUS<12>     |IOB      |IO_L09P_1/A6/RHCLK4/IRDY1|BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P133      |DBUS<13>     |IOB      |IO_L09N_1/A5/RHCLK5      |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P134      |DBUS<14>     |IOB      |IO_L10P_1/A4/RHCLK6      |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P135      |DBUS<15>     |IOB      |IO_L10N_1/A3/RHCLK7      |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P136      |             |IBUF     |IP/VREF_1                |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P137      |nBLE         |IOB      |IO_L11P_1/A2             |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P138      |nBHE         |IOB      |IO_L11N_1/A1             |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P139      |nRD          |IOB      |IO_L12P_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P140      |ABUS<13>     |IOB      |IO_L12N_1/A0             |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P141      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P142      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P143      |             |         |VCCO_1                   |         |           |1             |          |         |           |         |2.50   |          |         |           |                |
|P144      |ABUS<14>     |IOB      |IO_L13P_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P145      |ABUS<15>     |IOB      |IO_L13N_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P146      |ABUS<8>      |IOB      |IO_L14P_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P147      |ABUS<7>      |IOB      |IO_L14N_1                |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P148      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P149      |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P150      |ABUS<6>      |IOB      |IO_L15P_1/HDC            |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P151      |ABUS<5>      |IOB      |IO_L15N_1/LDC0           |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P152      |nWR          |IOB      |IO_L16P_1/LDC1           |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P153      |DBUS<7>      |IOB      |IO_L16N_1/LDC2           |BIDIR    |LVCMOS25   |1             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P154      |             |IBUF     |IP                       |UNUSED   |           |1             |          |         |           |         |       |          |         |           |                |
|P155      |             |         |TMS                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P156      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P157      |             |         |TDO                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P158      |             |         |TCK                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P159      |             |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P160      |DBUS<6>      |IOB      |IO_L01P_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P161      |DBUS<5>      |IOB      |IO_L01N_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P162      |DBUS<4>      |IOB      |IO_L02P_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P163      |DBUS<3>      |IOB      |IO_L02N_0/VREF_0         |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P164      |DBUS<2>      |IOB      |IO_L03P_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P165      |DBUS<1>      |IOB      |IO_L03N_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P166      |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P167      |DBUS<0>      |IOB      |IO_L04P_0                |BIDIR    |LVCMOS25   |0             |12        |SLOW     |NONE**     |IFD      |       |LOCATED   |         |YES        |NONE            |
|P168      |nMREQ        |IOB      |IO_L04N_0/VREF_0         |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P169      |             |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P170      |             |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |         |           |                |
|P171      |ABUS<4>      |IOB      |IO_L05P_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P172      |ABUS<3>      |IOB      |IO_L05N_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P173      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P174      |             |DIFFMI   |IP_L06P_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P175      |             |DIFFSI   |IP_L06N_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P176      |             |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |         |           |                |
|P177      |ABUS<2>      |IOB      |IO_L07P_0/GCLK4          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P178      |ABUS<1>      |IOB      |IO_L07N_0/GCLK5          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P179      |ABUS<0>      |IOB      |IO/VREF_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |YES        |NONE            |
|P180      |             |DIFFM    |IO_L08P_0/GCLK6          |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P181      |             |DIFFS    |IO_L08N_0/GCLK7          |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P182      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P183      |             |DIFFMI   |IP_L09P_0/GCLK8          |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P184      |             |DIFFSI   |IP_L09N_0/GCLK9          |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P185      |alu8led      |IOB      |IO_L10P_0/GCLK10         |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P186      |             |DIFFS    |IO_L10N_0/GCLK11         |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P187      |             |IOB      |IO                       |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P188      |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P189      |             |DIFFM    |IO_L11P_0                |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P190      |tempt<3>     |IOB      |IO_L11N_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P191      |             |         |VCCO_0                   |         |           |0             |          |         |           |         |2.50   |          |         |           |                |
|P192      |tempt<2>     |IOB      |IO_L12P_0                |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P193      |tempt<1>     |IOB      |IO_L12N_0/VREF_0         |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P194      |             |IBUF     |IP                       |UNUSED   |           |0             |          |         |           |         |       |          |         |           |                |
|P195      |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
